Date,spread,regime,z_score,signal,minhash_signal,final_signal,model_signal
2021-09-30,0.3349497023968465,0,1.526021051644275,-1,-0.0870847746744056,-1,0.0
2021-10-01,0.2981976307538814,0,1.3580133123095346,-1,-0.0578395089674852,-1,-1.0
2021-10-04,0.1416461675425194,0,0.6423568541049194,0,0.0,0,0.0
2021-10-05,-0.3940846558515992,0,-1.8066731054786933,1,0.0367659011255319,1,0.0
2021-10-06,-0.2873937935593585,0,-1.3189484744557631,1,-0.023205286422033,0,1.0
2021-10-07,-0.1031559618367059,0,-0.47672706423542,0,0.0,0,0.0
2021-10-08,0.0088726085163122,0,0.0353982665149142,0,0.0,0,0.0
2021-10-11,0.0469856107420907,0,0.2096273386994387,0,0.0,0,0.0
2021-10-12,0.0600042493974724,0,0.2691405022281458,0,0.0,0,0.0
2021-10-13,-0.0741710234755294,0,-0.3442258540689397,0,0.0,0,0.0
2021-10-14,-0.2894261734224254,0,-1.3282392581041096,1,0.0442633506806802,1,1.0
2021-10-15,-0.0024568690684333,0,-0.0163930973937123,0,0.0,0,0.0
2021-10-18,-0.0864189322268102,0,-0.4002157171947848,0,0.0,0,0.0
2021-10-19,-0.1729931022200361,0,-0.7959792737813302,0,0.0,0,0.0
2021-10-20,-0.0195971451483455,0,-0.0947478378756841,0,0.0,0,0.0
2021-10-21,-0.2721854471613039,0,-1.2494253215249846,1,0.0721428172922851,1,1.0
2021-10-22,-0.2332426899475372,0,-1.0714031227627834,1,0.6583334713951134,1,1.0
2021-10-25,0.1333062735166636,0,0.6042320170838329,0,0.0,0,0.0
2021-10-26,0.1234003327256636,0,0.558948182897624,0,0.0,0,0.0
2021-10-27,0.0866148894540319,0,0.3907878891179354,0,0.0,0,0.0
2021-10-28,-0.1467372423125547,0,-0.675953722291365,0,0.0,0,0.0
2021-10-29,-0.2283212828371391,0,-1.0489054934863622,1,-0.0497537162462424,0,1.0
2021-11-01,0.3806557146149225,0,1.7349606690177852,-1,-0.4166460141323619,-1,0.0
2021-11-02,-0.311741261920697,0,-1.4302500401920064,1,-0.0183066821674157,0,1.0
2021-11-03,0.0328022141905698,0,0.1447896225059541,0,0.0,0,0.0
2021-11-04,-0.2167752689019272,0,-0.9961242593173852,0,0.0,0,0.0
2021-11-05,0.4250907814475763,1,1.938090310205543,0,0.0,0,0.0
